# Grammatical Features
#Locale	ID	Feature	Usage	Values
Latvian	lv	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative
Latvian	lv	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Latvian	lv	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	{0} diennakšu	<div class='cldr_example'><span class='cldr_substituted'>10</span> diennakšu</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakšu</div>
Plural	one	{0} diennakts	<div class='cldr_example'><span class='cldr_substituted'>1</span> diennakts</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakts</div>
Plural	other	{0} diennaktis	<div class='cldr_example'><span class='cldr_substituted'>2</span> diennaktis</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> diennaktis</div>
Case (for measurement units)	nominative	pagājusi {0}	<div class='cldr_example'>pagājusi <span class='cldr_substituted'>1 megapikselis</span></div><div class='cldr_example'>❌  pagājusi <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	accusative	palikt {0}	<div class='cldr_example'>palikt <span class='cldr_substituted'>1 megapikseli</span></div><div class='cldr_example'>❌  palikt <span class='cldr_substituted'>1 megapikselim</span></div>
Case (for measurement units)	genitive	{0} brauciens	<div class='cldr_example'><span class='cldr_substituted'>10 MP</span> brauciens</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 megapikseli</span> brauciens</div>
Case (for measurement units)	locative	izdarīts {0}	<div class='cldr_example'>izdarīts <span class='cldr_substituted'>1 megapikselī</span></div><div class='cldr_example'>❌  izdarīts <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	dative	pietiks {0}	<div class='cldr_example'>pietiks <span class='cldr_substituted'>1 megapikselim</span></div><div class='cldr_example'>❌  pietiks <span class='cldr_substituted'>1 megapikseli</span></div>
Gender (for measurement units)	masculine	viens {0}	<div class='cldr_example'>viens <span class='cldr_substituted'>centimetrs</span></div><div class='cldr_example'>❌  viens <span class='cldr_substituted'>diena</span></div>
Gender (for measurement units)	feminine	gara {0}	<div class='cldr_example'>gara <span class='cldr_substituted'>diena</span></div><div class='cldr_example'>❌  gara <span class='cldr_substituted'>centimetrs</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for zero	Case MP + pattern with 10.0	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 3.0
power	gigawatts	masculine	viens gigavats	locative	{0} gigavatu	izdarīts 10 gigavatu	{0} gigavatā	izdarīts 21 gigavatā	{0} gigavatos	izdarīts 3 gigavatos
power	gigawatts	masculine	viens gigavats	dative	{0} gigavatu	pietiks 10 gigavatu	{0} gigavatam	pietiks 21 gigavatam	{0} gigavatiem	pietiks 3 gigavatiem
pressure	pascals	masculine	viens paskāls	nominative	{0} paskālu	pagājusi 10 paskālu	{0} paskāls	pagājusi 21 paskāls	{0} paskāli	pagājusi 3 paskāli
pressure	pascals	masculine	viens paskāls	accusative	{0} paskālu	palikt 10 paskālu	{0} paskālu	palikt 21 paskālu	{0} paskālus	palikt 3 paskālus
pressure	pascals	masculine	viens paskāls	genitive	{0} paskālu	10 paskālu brauciens	{0} paskāla	21 paskāla brauciens	{0} paskālu	3 paskālu brauciens
pressure	pascals	masculine	viens paskāls	locative	{0} paskālu	izdarīts 10 paskālu	{0} paskālā	izdarīts 21 paskālā	{0} paskālos	izdarīts 3 paskālos
pressure	pascals	masculine	viens paskāls	dative	{0} paskālu	pietiks 10 paskālu	{0} paskālam	pietiks 21 paskālam	{0} paskāliem	pietiks 3 paskāliem
pressure	hectopascal • ( = 1 mbar)	masculine	viens hektopaskāls	nominative	{0} hektopaskālu	pagājusi 10 hektopaskālu	{0} hektopaskāls	pagājusi 21 hektopaskāls	{0} hektopaskāli	pagājusi 3 hektopaskāli
pressure	hectopascal • ( = 1 mbar)	masculine	viens hektopaskāls	accusative	{0} hektopaskālu	palikt 10 hektopaskālu	{0} hektopaskālu	palikt 21 hektopaskālu	{0} hektopaskālus	palikt 3 hektopaskālus
pressure	hectopascal • ( = 1 mbar)	masculine	viens hektopaskāls	genitive	{0} hektopaskālu	10 hektopaskālu brauciens	{0} hektopaskāla	21 hektopaskāla brauciens	{0} hektopaskālu	3 hektopaskālu brauciens
pressure	hectopascal • ( = 1 mbar)	masculine	viens hektopaskāls	locative	{0} hektopaskālu	izdarīts 10 hektopaskālu	{0} hektopaskālā	izdarīts 21 hektopaskālā	{0} hektopaskālos	izdarīts 3 hektopaskālos
pressure	hectopascal • ( = 1 mbar)	masculine	viens hektopaskāls	dative	{0} hektopaskālu	pietiks 10 hektopaskālu	{0} hektopaskālam	pietiks 21 hektopaskālam	{0} hektopaskāiem	pietiks 3 hektopaskāiem
pressure	millibars	masculine	viens milibārs	nominative	{0} milibāru	pagājusi 10 milibāru	{0} milibārs	pagājusi 21 milibārs	{0} milibāri	pagājusi 3 milibāri
pressure	millibars	masculine	viens milibārs	accusative	{0} milibāru	palikt 10 milibāru	{0} milibāru	palikt 21 milibāru	{0} milibārus	palikt 3 milibārus
pressure	millibars	masculine	viens milibārs	genitive	{0} milibāru	10 milibāru brauciens	{0} milibāra	21 milibāra brauciens	{0} milibāru	3 milibāru brauciens
pressure	millibars	masculine	viens milibārs	locative	{0} milibāru	izdarīts 10 milibāru	{0} milibārā	izdarīts 21 milibārā	{0} milibāros	izdarīts 3 milibāros
pressure	millibars	masculine	viens milibārs	dative	{0} milibāru	pietiks 10 milibāru	{0} milibāram	pietiks 21 milibāram	{0} milibāriem	pietiks 3 milibāriem
pressure	kilopascals	masculine	viens kilopaskāls	nominative	{0} kPa	pagājusi 10 kPa	{0} kilopaskāls	pagājusi 21 kilopaskāls	{0} kilopaskāli	pagājusi 3 kilopaskāli
pressure	kilopascals	masculine	viens kilopaskāls	accusative	{0} kPa	palikt 10 kPa	{0} kilopaskālu	palikt 21 kilopaskālu	{0} kilopaskālus	palikt 3 kilopaskālus
pressure	kilopascals	masculine	viens kilopaskāls	genitive	{0} kPa	10 kPa brauciens	{0} kilopaskāla	21 kilopaskāla brauciens	{0} kilopaskālu	3 kilopaskālu brauciens
pressure	kilopascals	masculine	viens kilopaskāls	locative	{0} kPa	izdarīts 10 kPa	{0} kilopaskālā	izdarīts 21 kilopaskālā	{0} kilopaskālos	izdarīts 3 kilopaskālos
pressure	kilopascals	masculine	viens kilopaskāls	dative	{0} kPa	pietiks 10 kPa	{0} kilopaskālam	pietiks 21 kilopaskālam	{0} kilopaskāliem	pietiks 3 kilopaskāliem
pressure	bars	masculine	viens bārs	nominative	{0} bāru	pagājusi 10 bāru	{0} bārs	pagājusi 21 bārs	{0} bāri	pagājusi 3 bāri
pressure	bars	masculine	viens bārs	accusative	{0} bāru	palikt 10 bāru	{0} bāru	palikt 21 bāru	{0} bārus	palikt 3 bārus
pressure	bars	masculine	viens bārs	genitive	{0} bāru	10 bāru brauciens	{0} bāra	21 bāra brauciens	{0} bāru	3 bāru brauciens
pressure	bars	masculine	viens bārs	locative	{0} bāru	izdarīts 10 bāru	{0} bārā	izdarīts 21 bārā	{0} bāros	izdarīts 3 bāros
pressure	bars	masculine	viens bārs	dative	{0} bāru	pietiks 10 bāru	{0} bāram	pietiks 21 bāram	{0} bāriem	pietiks 3 bāriem
pressure	atmosphere • ( = 1.01325 bar)	feminine	gara atmosfēra	nominative	{0} atmosfēras	pagājusi 10 atmosfēras	{0} atmosfēra	pagājusi 21 atmosfēra	{0} atmosfēras	pagājusi 3 atmosfēras
pressure	atmosphere • ( = 1.01325 bar)	feminine	gara atmosfēra	accusative	{0} atmosfēras	palikt 10 atmosfēras	{0} atmosfēru	palikt 21 atmosfēru	{0} atmosfēras	palikt 3 atmosfēras
pressure	atmosphere • ( = 1.01325 bar)	feminine	gara atmosfēra	genitive	{0} atmosfēras	10 atmosfēras brauciens	{0} atmosfēras	21 atmosfēras brauciens	{0} atmosfēru	3 atmosfēru brauciens
pressure	atmosphere • ( = 1.01325 bar)	feminine	gara atmosfēra	locative	{0} atmosfēras	izdarīts 10 atmosfēras	{0} atmosfērā	izdarīts 21 atmosfērā	{0} atmosfērās	izdarīts 3 atmosfērās
pressure	atmosphere • ( = 1.01325 bar)	feminine	gara atmosfēra	dative	{0} atmosfēras	pietiks 10 atmosfēras	{0} atmosfērai	pietiks 21 atmosfērai	{0} atmosfēras	pietiks 3 atmosfēras
pressure	megapascals	masculine	viens megapaskāls	nominative	{0} MPa	pagājusi 10 MPa	{0} megapaskāls	pagājusi 21 megapaskāls	{0} megapaskāli	pagājusi 3 megapaskāli
pressure	megapascals	masculine	viens megapaskāls	accusative	{0} MPa	palikt 10 MPa	{0} megapaskālu	palikt 21 megapaskālu	{0} megapaskālus	palikt 3 megapaskālus
pressure	megapascals	masculine	viens megapaskāls	genitive	{0} MPa	10 MPa brauciens	{0} megapaskāla	21 megapaskāla brauciens	{0} megapaskālu	3 megapaskālu brauciens
pressure	megapascals	masculine	viens megapaskāls	locative	{0} MPa	izdarīts 10 MPa	{0} megapaskālā	izdarīts 21 megapaskālā	{0} megapaskālos	izdarīts 3 megapaskālos
pressure	megapascals	masculine	viens megapaskāls	dative	{0} MPa	pietiks 10 MPa	{0} megapaskālam	pietiks 21 megapaskālam	{0} megapaskāliem	pietiks 3 megapaskāliem
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	viens pikselis centimetrā	nominative	{0} ppcm	pagājusi 10 ppcm	{0} pikselis centimetrā	pagājusi 21 pikselis centimetrā	{0} pikseļi centimetrā	pagājusi 3 pikseļi centimetrā
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	viens pikselis centimetrā	accusative	{0} ppcm	palikt 10 ppcm	{0} pikseli centimetrā	palikt 21 pikseli centimetrā	{0} pikseļus centimetrā	palikt 3 pikseļus centimetrā
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	viens pikselis centimetrā	genitive	{0} ppcm	10 ppcm brauciens	{0} pikseļa centimetrā	21 pikseļa centimetrā brauciens	{0} pikseļu centimetrā	3 pikseļu centimetrā brauciens
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	viens pikselis centimetrā	locative	{0} ppcm	izdarīts 10 ppcm	{0} pikselī centimetrā	izdarīts 21 pikselī centimetrā	{0} pikseļos centimetrā	izdarīts 3 pikseļos centimetrā
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	viens pikselis centimetrā	dative	{0} ppcm	pietiks 10 ppcm	{0} pikselim centimetrā	pietiks 21 pikselim centimetrā	{0} pikseļiem centimetrā	pietiks 3 pikseļiem centimetrā
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	viens kilometrs stundā	nominative	{0} kilometru stundā	pagājusi 10 kilometru stundā	{0} kilometrs stundā	pagājusi 21 kilometrs stundā	{0} kilometri stundā	pagājusi 3 kilometri stundā
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	viens kilometrs stundā	accusative	{0} kilometru stundā	palikt 10 kilometru stundā	{0} kilometru stundā	palikt 21 kilometru stundā	{0} kilometrus stundā	palikt 3 kilometrus stundā
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	viens kilometrs stundā	genitive	{0} kilometru stundā	10 kilometru stundā brauciens	{0} kilometra stundā	21 kilometra stundā brauciens	{0} kilometru stundā	3 kilometru stundā brauciens
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	viens kilometrs stundā	locative	{0} kilometru stundā	izdarīts 10 kilometru stundā	{0} kilometrā stundā	izdarīts 21 kilometrā stundā	{0} kilometros stundā	izdarīts 3 kilometros stundā
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	viens kilometrs stundā	dative	{0} kilometru stundā	pietiks 10 kilometru stundā	{0} kilometram stundā	pietiks 21 kilometram stundā	{0} kilometriem stundā	pietiks 3 kilometriem stundā
speed	meters per second	masculine	viens metrs sekundē	nominative	{0} metru sekundē	pagājusi 10 metru sekundē	{0} metrs sekundē	pagājusi 21 metrs sekundē	{0} metri sekundē	pagājusi 3 metri sekundē
speed	meters per second	masculine	viens metrs sekundē	accusative	{0} metru sekundē	palikt 10 metru sekundē	{0} metru sekundē	palikt 21 metru sekundē	{0} metrus sekundē	palikt 3 metrus sekundē
speed	meters per second	masculine	viens metrs sekundē	genitive	{0} metru sekundē	10 metru sekundē brauciens	{0} metra sekundē	21 metra sekundē brauciens	{0} metru sekundē	3 metru sekundē brauciens
speed	meters per second	masculine	viens metrs sekundē	locative	{0} metru sekundē	izdarīts 10 metru sekundē	{0} metrā sekundē	izdarīts 21 metrā sekundē	{0} metros sekundē	izdarīts 3 metros sekundē
speed	meters per second	masculine	viens metrs sekundē	dative	{0} metru sekundē	pietiks 10 metru sekundē	{0} metram sekundē	pietiks 21 metram sekundē	{0} metriem sekundē	pietiks 3 metriem sekundē
substance-amount	items	masculine	viens vienums	nominative	{0} vienumu	pagājusi 10 vienumu	{0} vienums	pagājusi 21 vienums	{0} vienumi	pagājusi 3 vienumi
substance-amount	items	masculine	viens vienums	accusative	{0} vienumu	palikt 10 vienumu	{0} vienumu	palikt 21 vienumu	{0} vienumus	palikt 3 vienumus
substance-amount	items	masculine	viens vienums	genitive	{0} vienumu	10 vienumu brauciens	{0} vienuma	21 vienuma brauciens	{0} vienumu	3 vienumu brauciens
substance-amount	items	masculine	viens vienums	locative	{0} vienumu	izdarīts 10 vienumu	{0} vienumā	izdarīts 21 vienumā	{0} vienumos	izdarīts 3 vienumos
substance-amount	items	masculine	viens vienums	dative	{0} vienumu	pietiks 10 vienumu	{0} vienumam	pietiks 21 vienumam	{0} vienumiem	pietiks 3 vienumiem
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	viens mols	nominative	{0} molu	pagājusi 10 molu	{0} mols	pagājusi 21 mols	{0} moli	pagājusi 3 moli
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	viens mols	accusative	{0} molu	palikt 10 molu	{0} molu	palikt 21 molu	{0} molus	palikt 3 molus
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	viens mols	genitive	{0} molu	10 molu brauciens	{0} mola	21 mola brauciens	{0} molu	3 molu brauciens
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	viens mols	locative	{0} molu	izdarīts 10 molu	{0} molā	izdarīts 21 molā	{0} molos	izdarīts 3 molos
substance-amount	mole • ( = 602,214,076,000,000,000,000,000 items)	masculine	viens mols	dative	{0} molu	pietiks 10 molu	{0} molam	pietiks 21 molam	{0} moliem	pietiks 3 moliem
temperature	°	masculine	viens grāds	nominative	{0}°	pagājusi 10°	{0} grāds	pagājusi 21 grāds	{0} grādi	pagājusi 3 grādi
temperature	°	masculine	viens grāds	accusative	{0}°	palikt 10°	{0} grādu	palikt 21 grādu	{0} grādus	palikt 3 grādus
temperature	°	masculine	viens grāds	genitive	{0}°	10° brauciens	{0} grāda	21 grāda brauciens	{0} grādu	3 grādu brauciens
temperature	°	masculine	viens grāds	locative	{0}°	izdarīts 10°	{0} grādā	izdarīts 21 grādā	{0} grādos	izdarīts 3 grādos
temperature	°	masculine	viens grāds	dative	{0}°	pietiks 10°	{0} grādam	pietiks 21 grādam	{0} grādiem	pietiks 3 grādiem
temperature	celsius • ( = 1 K)	masculine	viens Celsija grāds	nominative	{0} Celsija grādu	pagājusi 10 Celsija grādu	{0} Celsija grāds	pagājusi 21 Celsija grāds	{0} Celsija grādi	pagājusi 3 Celsija grādi
temperature	celsius • ( = 1 K)	masculine	viens Celsija grāds	accusative	{0} Celsija grādu	palikt 10 Celsija grādu	{0} Celsija grādu	palikt 21 Celsija grādu	{0} Celsija grādus	palikt 3 Celsija grādus
temperature	celsius • ( = 1 K)	masculine	viens Celsija grāds	genitive	{0} Celsija grādu	10 Celsija grādu brauciens	{0} Celsija grāda	21 Celsija grāda brauciens	{0} Celsija grādu	3 Celsija grādu brauciens
temperature	celsius • ( = 1 K)	masculine	viens Celsija grāds	locative	{0} Celsija grādu	izdarīts 10 Celsija grādu	{0} Celsija grādā	izdarīts 21 Celsija grādā	{0} Celsija grādos	izdarīts 3 Celsija grādos
temperature	celsius • ( = 1 K)	masculine	viens Celsija grāds	dative	{0} Celsija grādu	pietiks 10 Celsija grādu	{0} Celsija grādam	pietiks 21 Celsija grādam	{0} Celsija grādiem	pietiks 3 Celsija grādiem
temperature	kelvins	masculine	viens kelvins	nominative	{0} kelvinu	pagājusi 10 kelvinu	{0} kelvins	pagājusi 21 kelvins	{0} kelvini	pagājusi 3 kelvini
temperature	kelvins	masculine	viens kelvins	accusative	{0} kelvinu	palikt 10 kelvinu	{0} kelvinu	palikt 21 kelvinu	{0} kelvinus	palikt 3 kelvinus
temperature	kelvins	masculine	viens kelvins	genitive	{0} kelvinu	10 kelvinu brauciens	{0} kelvina	21 kelvina brauciens	{0} kelvinu	3 kelvinu brauciens
temperature	kelvins	masculine	viens kelvins	locative	{0} kelvinu	izdarīts 10 kelvinu	{0} kelvinā	izdarīts 21 kelvinā	{0} kelvinos	izdarīts 3 kelvinos
temperature	kelvins	masculine	viens kelvins	dative	{0} kelvinu	pietiks 10 kelvinu	{0} kelvinam	pietiks 21 kelvinam	{0} kelvinam	pietiks 3 kelvinam
typewidth	typographic ems	feminine	gara em	nominative	{0} em	pagājusi 10 em	{0} em	pagājusi 21 em	{0} em	pagājusi 3 em
typewidth	typographic ems	feminine	gara em	accusative	{0} em	palikt 10 em	{0} em	palikt 21 em	{0} em	palikt 3 em
typewidth	typographic ems	feminine	gara em	genitive	{0} em	10 em brauciens	{0} em	21 em brauciens	{0} em	3 em brauciens
typewidth	typographic ems	feminine	gara em	locative	{0} em	izdarīts 10 em	{0} em	izdarīts 21 em	{0} em	izdarīts 3 em
typewidth	typographic ems	feminine	gara em	dative	{0} em	pietiks 10 em	{0} em	pietiks 21 em	{0} em	pietiks 3 em
voltage	volts	masculine	viens volts	nominative	{0} voltu	pagājusi 10 voltu	{0} volts	pagājusi 21 volts	{0} volti	pagājusi 3 volti
voltage	volts	masculine	viens volts	accusative	{0} voltu	palikt 10 voltu	{0} voltu	palikt 21 voltu	{0} voltus	palikt 3 voltus
voltage	volts	masculine	viens volts	genitive	{0} voltu	10 voltu brauciens	{0} volta	21 volta brauciens	{0} voltu	3 voltu brauciens
voltage	volts	masculine	viens volts	locative	{0} voltu	izdarīts 10 voltu	{0} voltā	izdarīts 21 voltā	{0} voltos	izdarīts 3 voltos
voltage	volts	masculine	viens volts	dative	{0} voltu	pietiks 10 voltu	{0} voltam	pietiks 21 voltam	{0} voltiem	pietiks 3 voltiem
volume	cubic-centimeter • ( = 1 mL)	masculine	viens kubikcentimetrs	nominative	{0} kubikcentimetru	pagājusi 10 kubikcentimetru	{0} kubikcentimetrs	pagājusi 21 kubikcentimetrs	{0} kubikcentimetri	pagājusi 3 kubikcentimetri
volume	cubic-centimeter • ( = 1 mL)	masculine	viens kubikcentimetrs	accusative	{0} kubikcentimetru	palikt 10 kubikcentimetru	{0} kubikcentimetru	palikt 21 kubikcentimetru	{0} kubikcentimetrus	palikt 3 kubikcentimetrus
volume	cubic-centimeter • ( = 1 mL)	masculine	viens kubikcentimetrs	genitive	{0} kubikcentimetru	10 kubikcentimetru brauciens	{0} kubikcentimetru	21 kubikcentimetru brauciens	{0} kubikcentimetru	3 kubikcentimetru brauciens
volume	cubic-centimeter • ( = 1 mL)	masculine	viens kubikcentimetrs	locative	{0} kubikcentimetru	izdarīts 10 kubikcentimetru	{0} kubikcentimetrā	izdarīts 21 kubikcentimetrā	{0} kubikcentimetros	izdarīts 3 kubikcentimetros
volume	cubic-centimeter • ( = 1 mL)	masculine	viens kubikcentimetrs	dative	{0} kubikcentimetru	pietiks 10 kubikcentimetru	{0} kubikcentimetram	pietiks 21 kubikcentimetram	{0} kubikcentimetriem	pietiks 3 kubikcentimetriem
volume	milliliters	masculine	viens mililitrs	nominative	{0} mililitru	pagājusi 10 mililitru	{0} mililitrs	pagājusi 21 mililitrs	{0} mililitri	pagājusi 3 mililitri
volume	milliliters	masculine	viens mililitrs	accusative	{0} mililitru	palikt 10 mililitru	{0} mililitru	palikt 21 mililitru	{0} mililitrus	palikt 3 mililitrus
volume	milliliters	masculine	viens mililitrs	genitive	{0} mililitru	10 mililitru brauciens	{0} mililitra	21 mililitra brauciens	{0} mililitru	3 mililitru brauciens
volume	milliliters	masculine	viens mililitrs	locative	{0} mililitru	izdarīts 10 mililitru	{0} mililitrā	izdarīts 21 mililitrā	{0} mililitros	izdarīts 3 mililitros
volume	milliliters	masculine	viens mililitrs	dative	{0} mililitru	pietiks 10 mililitru	{0} mililitram	pietiks 21 mililitram	{0} mililitriem	pietiks 3 mililitriem
volume	centiliters	masculine	viens centilitrs	nominative	{0} centilitru	pagājusi 10 centilitru	{0} centilitrs	pagājusi 21 centilitrs	{0} centilitri	pagājusi 3 centilitri
volume	centiliters	masculine	viens centilitrs	accusative	{0} centilitru	palikt 10 centilitru	{0} centilitru	palikt 21 centilitru	{0} centilitrus	palikt 3 centilitrus
volume	centiliters	masculine	viens centilitrs	genitive	{0} centilitru	10 centilitru brauciens	{0} centilitra	21 centilitra brauciens	{0} centilitru	3 centilitru brauciens
volume	centiliters	masculine	viens centilitrs	locative	{0} centilitru	izdarīts 10 centilitru	{0} centilitrā	izdarīts 21 centilitrā	{0} centilitros	izdarīts 3 centilitros
volume	centiliters	masculine	viens centilitrs	dative	{0} centilitru	pietiks 10 centilitru	{0} centilitram	pietiks 21 centilitram	{0} centilitriem	pietiks 3 centilitriem
volume	deciliters	masculine	viens decilitrs	nominative	{0} decilitru	pagājusi 10 decilitru	{0} decilitrs	pagājusi 21 decilitrs	{0} decilitri	pagājusi 3 decilitri
volume	deciliters	masculine	viens decilitrs	accusative	{0} decilitru	palikt 10 decilitru	{0} decilitru	palikt 21 decilitru	{0} decilitrus	palikt 3 decilitrus
volume	deciliters	masculine	viens decilitrs	genitive	{0} decilitru	10 decilitru brauciens	{0} decilitra	21 decilitra brauciens	{0} decilitru	3 decilitru brauciens
volume	deciliters	masculine	viens decilitrs	locative	{0} decilitru	izdarīts 10 decilitru	{0} decilitrā	izdarīts 21 decilitrā	{0} decilitros	izdarīts 3 decilitros
volume	deciliters	masculine	viens decilitrs	dative	{0} decilitru	pietiks 10 decilitru	{0} decilitram	pietiks 21 decilitram	{0} decilitriem	pietiks 3 decilitriem
volume	cup-metric • ( = 2.5 dL)	feminine	gara metriskā glāze	nominative	{0} metrisko glāžu	pagājusi 10 metrisko glāžu	{0} metriskā glāze	pagājusi 21 metriskā glāze	{0} metriskās glāzes	pagājusi 3 metriskās glāzes
volume	cup-metric • ( = 2.5 dL)	feminine	gara metriskā glāze	accusative	{0} metrisko glāžu	palikt 10 metrisko glāžu	{0} metrisko glāzi	palikt 21 metrisko glāzi	{0} metriskās glāzes	palikt 3 metriskās glāzes
volume	cup-metric • ( = 2.5 dL)	feminine	gara metriskā glāze	genitive	{0} metrisko glāžu	10 metrisko glāžu brauciens	{0} metriskās glāzes	21 metriskās glāzes brauciens	{0} metrisko glāžu	3 metrisko glāžu brauciens
volume	cup-metric • ( = 2.5 dL)	feminine	gara metriskā glāze	locative	{0} metrisko glāžu	izdarīts 10 metrisko glāžu	{0} metriskajā glāzē	izdarīts 21 metriskajā glāzē	{0} metriskajās glāzēs	izdarīts 3 metriskajās glāzēs
volume	cup-metric • ( = 2.5 dL)	feminine	gara metriskā glāze	dative	{0} metrisko glāžu	pietiks 10 metrisko glāžu	{0} metriskajai glāzei	pietiks 21 metriskajai glāzei	{0} metriskajām glāzēm	pietiks 3 metriskajām glāzēm
volume	pint-metric • ( = 5 dL)	feminine	gara metriskā pinte	nominative	{0} metrisko pinšu	pagājusi 10 metrisko pinšu	{0} metriskā pinte	pagājusi 21 metriskā pinte	{0} metriskās pintes	pagājusi 3 metriskās pintes
volume	pint-metric • ( = 5 dL)	feminine	gara metriskā pinte	accusative	{0} metrisko pinšu	palikt 10 metrisko pinšu	{0} metrisko pinti	palikt 21 metrisko pinti	{0} metriskās pintes	palikt 3 metriskās pintes
volume	pint-metric • ( = 5 dL)	feminine	gara metriskā pinte	genitive	{0} metrisko pinšu	10 metrisko pinšu brauciens	{0} metriskās pintes	21 metriskās pintes brauciens	{0} metrisko pinšu	3 metrisko pinšu brauciens
volume	pint-metric • ( = 5 dL)	feminine	gara metriskā pinte	locative	{0} metrisko pinšu	izdarīts 10 metrisko pinšu	{0} metriskajā pintē	izdarīts 21 metriskajā pintē	{0} metriskajās pintēs	izdarīts 3 metriskajās pintēs
volume	pint-metric • ( = 5 dL)	feminine	gara metriskā pinte	dative	{0} metrisko pinšu	pietiks 10 metrisko pinšu	{0} metriskajai pintei	pietiks 21 metriskajai pintei	{0} metriskajām pintēm	pietiks 3 metriskajām pintēm
volume	liters	masculine	viens litrs	nominative	{0} litru	pagājusi 10 litru	{0} litrs	pagājusi 21 litrs	{0} litri	pagājusi 3 litri
volume	liters	masculine	viens litrs	accusative	{0} litru	palikt 10 litru	{0} litru	palikt 21 litru	{0} litri	palikt 3 litri
volume	liters	masculine	viens litrs	genitive	{0} litru	10 litru brauciens	{0} litra	21 litra brauciens	{0} litru	3 litru brauciens
volume	liters	masculine	viens litrs	locative	{0} litru	izdarīts 10 litru	{0} litrā	izdarīts 21 litrā	{0} litros	izdarīts 3 litros
volume	liters	masculine	viens litrs	dative	{0} litru	pietiks 10 litru	{0} litram	pietiks 21 litram	{0} litriem	pietiks 3 litriem
volume	hectoliters	masculine	viens hektolitrs	nominative	{0} hektolitru	pagājusi 10 hektolitru	{0} hektolitrs	pagājusi 21 hektolitrs	{0} hektolitri	pagājusi 3 hektolitri
volume	hectoliters	masculine	viens hektolitrs	accusative	{0} hektolitru	palikt 10 hektolitru	{0} hektolitru	palikt 21 hektolitru	{0} hektolitrus	palikt 3 hektolitrus
volume	hectoliters	masculine	viens hektolitrs	genitive	{0} hektolitru	10 hektolitru brauciens	{0} hektolitra	21 hektolitra brauciens	{0} hektolitru	3 hektolitru brauciens
volume	hectoliters	masculine	viens hektolitrs	locative	{0} hektolitru	izdarīts 10 hektolitru	{0} hektolitrā	izdarīts 21 hektolitrā	{0} hektolitros	izdarīts 3 hektolitros
volume	hectoliters	masculine	viens hektolitrs	dative	{0} hektolitru	pietiks 10 hektolitru	{0} hektolitram	pietiks 21 hektolitram	{0} hektolitriem	pietiks 3 hektolitriem
volume	cubic meters	masculine	viens kubikmetrs	nominative	{0} kubikmetru	pagājusi 10 kubikmetru	{0} kubikmetrs	pagājusi 21 kubikmetrs	{0} kubikmetri	pagājusi 3 kubikmetri
volume	cubic meters	masculine	viens kubikmetrs	accusative	{0} kubikmetru	palikt 10 kubikmetru	{0} kubikmetru	palikt 21 kubikmetru	{0} kubikmetrus	palikt 3 kubikmetrus
volume	cubic meters	masculine	viens kubikmetrs	genitive	{0} kubikmetru	10 kubikmetru brauciens	{0} kubikmetra	21 kubikmetra brauciens	{0} kubikmetru	3 kubikmetru brauciens
volume	cubic meters	masculine	viens kubikmetrs	locative	{0} kubikmetru	izdarīts 10 kubikmetru	{0} kubikmetrā	izdarīts 21 kubikmetrā	{0} kubikmetros	izdarīts 3 kubikmetros
volume	cubic meters	masculine	viens kubikmetrs	dative	{0} kubikmetru	pietiks 10 kubikmetru	{0} kubikmetram	pietiks 21 kubikmetram	{0} kubikmetriem	pietiks 3 kubikmetriem
volume	megaliters	masculine	viens megalitrs	nominative	{0} megalitru	pagājusi 10 megalitru	{0} megalitrs	pagājusi 21 megalitrs	{0} megalitri	pagājusi 3 megalitri
