# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
typewidth	typographic ems	masculine	On em	dative	{0} emu	kljub 101 emu	{0} emoma	kljub 102 emoma	{0} emom	kljub 4 emom	{0} emom	kljub 5 emom
typewidth	typographic ems	masculine	On em	instrumental	{0} emom	s/z 101 emom	{0} emoma	s/z 102 emoma	{0} emi	s/z 4 emi	{0} emi	s/z 5 emi
voltage	volts	masculine	On volt	nominative	{0} volt	101 volt je	{0} volta	102 volta je	{0} volti	4 volti je	{0} voltov	5 voltov je
voltage	volts	masculine	On volt	accusative	{0} volt	čez 101 volt	{0} volta	čez 102 volta	{0} volte	čez 4 volte	{0} voltov	čez 5 voltov
voltage	volts	masculine	On volt	genitive	{0} volta	brez 101 volta	{0} voltov	brez 102 voltov	{0} voltov	brez 4 voltov	{0} voltov	brez 5 voltov
voltage	volts	masculine	On volt	locative	{0} voltu	po 101 voltu	{0} voltih	po 102 voltih	{0} voltih	po 4 voltih	{0} voltih	po 5 voltih
voltage	volts	masculine	On volt	dative	{0} voltu	kljub 101 voltu	{0} voltoma	kljub 102 voltoma	{0} voltom	kljub 4 voltom	{0} voltom	kljub 5 voltom
voltage	volts	masculine	On volt	instrumental	{0} voltom	s/z 101 voltom	{0} voltoma	s/z 102 voltoma	{0} volti	s/z 4 volti	{0} volti	s/z 5 volti
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	nominative	{0} kapljica	101 kapljica je	{0} kapljici	102 kapljici je	{0} kapljice	4 kapljice je	{0} kapljic	5 kapljic je
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	accusative	{0} kapljica	čez 101 kapljica	{0} kapljici	čez 102 kapljici	{0} kapljice	čez 4 kapljice	{0} kapljic	čez 5 kapljic
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	genitive	{0} kapljica	brez 101 kapljica	{0} kapljici	brez 102 kapljici	{0} kapljice	brez 4 kapljice	{0} kapljic	brez 5 kapljic
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	locative	{0} kapljica	po 101 kapljica	{0} kapljici	po 102 kapljici	{0} kapljice	po 4 kapljice	{0} kapljic	po 5 kapljic
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	dative	{0} kapljica	kljub 101 kapljica	{0} kapljici	kljub 102 kapljici	{0} kapljice	kljub 4 kapljice	{0} kapljic	kljub 5 kapljic
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a	instrumental	{0} kapljica	s/z 101 kapljica	{0} kapljici	s/z 102 kapljici	{0} kapljice	s/z 4 kapljice	{0} kapljic	s/z 5 kapljic
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	nominative	{0} ščepec	101 ščepec je	{0} ščepca	102 ščepca je	{0} ščepci	4 ščepci je	{0} ščepcev	5 ščepcev je
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	accusative	{0} ščepec	čez 101 ščepec	{0} ščepca	čez 102 ščepca	{0} ščepci	čez 4 ščepci	{0} ščepcev	čez 5 ščepcev
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	genitive	{0} ščepec	brez 101 ščepec	{0} ščepca	brez 102 ščepca	{0} ščepci	brez 4 ščepci	{0} ščepcev	brez 5 ščepcev
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	locative	{0} ščepec	po 101 ščepec	{0} ščepca	po 102 ščepca	{0} ščepci	po 4 ščepci	{0} ščepcev	po 5 ščepcev
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	dative	{0} ščepec	kljub 101 ščepec	{0} ščepca	kljub 102 ščepca	{0} ščepci	kljub 4 ščepci	{0} ščepcev	kljub 5 ščepcev
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a	instrumental	{0} ščepec	s/z 101 ščepec	{0} ščepca	s/z 102 ščepca	{0} ščepci	s/z 4 ščepci	{0} ščepcev	s/z 5 ščepcev
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	nominative	{0} kubični centimeter	101 kubični centimeter je	{0} kubična centimetra	102 kubična centimetra je	{0} kubični centimetri	4 kubični centimetri je	{0} kubičnih centimetrov	5 kubičnih centimetrov je
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	accusative	{0} kubični centimeter	čez 101 kubični centimeter	{0} kubična centimetra	čez 102 kubična centimetra	{0} kubične centimetre	čez 4 kubične centimetre	{0} kubičnih centimetrov	čez 5 kubičnih centimetrov
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	genitive	{0} kubičnega centimetra	brez 101 kubičnega centimetra	{0} kubičnih centimetrov	brez 102 kubičnih centimetrov	{0} kubičnih centimetrov	brez 4 kubičnih centimetrov	{0} kubičnih centimetrov	brez 5 kubičnih centimetrov
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	locative	{0} kubičnem centimetru	po 101 kubičnem centimetru	{0} kubičnih centimetrih	po 102 kubičnih centimetrih	{0} kubičnih centimetrih	po 4 kubičnih centimetrih	{0} kubičnih centimetrih	po 5 kubičnih centimetrih
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	dative	{0} kubičnemu centimetru	kljub 101 kubičnemu centimetru	{0} kubičnima centimetroma	kljub 102 kubičnima centimetroma	{0} kubičnim centimetrom	kljub 4 kubičnim centimetrom	{0} kubičnim centimetrom	kljub 5 kubičnim centimetrom
volume	cubic-centimeter • ( = 1 mL)	masculine	On kubični centimeter	instrumental	{0} kubičnim centimetrom	s/z 101 kubičnim centimetrom	{0} kubičnima centimetroma	s/z 102 kubičnima centimetroma	{0} kubičnimi centimetri	s/z 4 kubičnimi centimetri	{0} kubičnimi centimetri	s/z 5 kubičnimi centimetri
volume	milliliters	masculine	On mililiter	nominative	{0} mililiter	101 mililiter je	{0} mililitra	102 mililitra je	{0} mililitri	4 mililitri je	{0} militrov	5 militrov je
volume	milliliters	masculine	On mililiter	accusative	{0} mililiter	čez 101 mililiter	{0} mililitra	čez 102 mililitra	{0} mililitre	čez 4 mililitre	{0} mililitrov	čez 5 mililitrov
volume	milliliters	masculine	On mililiter	genitive	{0} mililitra	brez 101 mililitra	{0} mililitrov	brez 102 mililitrov	{0} mililitrov	brez 4 mililitrov	{0} mililitrov	brez 5 mililitrov
volume	milliliters	masculine	On mililiter	locative	{0} mililitru	po 101 mililitru	{0} mililitrih	po 102 mililitrih	{0} mililitrih	po 4 mililitrih	{0} mililitrih	po 5 mililitrih
volume	milliliters	masculine	On mililiter	dative	{0} mililitru	kljub 101 mililitru	{0} mililitroma	kljub 102 mililitroma	{0} mililitrom	kljub 4 mililitrom	{0} mililitrom	kljub 5 mililitrom
volume	milliliters	masculine	On mililiter	instrumental	{0} mililitrom	s/z 101 mililitrom	{0} mililitroma	s/z 102 mililitroma	{0} mililitri	s/z 4 mililitri	{0} mililitri	s/z 5 mililitri
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	nominative	{0} desertna žlička	101 desertna žlička je	{0} desertni žlički	102 desertni žlički je	{0} desertne žličke	4 desertne žličke je	{0} desertnih žličk	5 desertnih žličk je
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	accusative	{0} desertna žlička	čez 101 desertna žlička	{0} desertni žlički	čez 102 desertni žlički	{0} desertne žličke	čez 4 desertne žličke	{0} desertnih žličk	čez 5 desertnih žličk
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	genitive	{0} desertna žlička	brez 101 desertna žlička	{0} desertni žlički	brez 102 desertni žlički	{0} desertne žličke	brez 4 desertne žličke	{0} desertnih žličk	brez 5 desertnih žličk
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	locative	{0} desertna žlička	po 101 desertna žlička	{0} desertni žlički	po 102 desertni žlički	{0} desertne žličke	po 4 desertne žličke	{0} desertnih žličk	po 5 desertnih žličk
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	dative	{0} desertna žlička	kljub 101 desertna žlička	{0} desertni žlički	kljub 102 desertni žlički	{0} desertne žličke	kljub 4 desertne žličke	{0} desertnih žličk	kljub 5 desertnih žličk
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a	instrumental	{0} desertna žlička	s/z 101 desertna žlička	{0} desertni žlički	s/z 102 desertni žlički	{0} desertne žličke	s/z 4 desertne žličke	{0} desertnih žličk	s/z 5 desertnih žličk
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	nominative	{0} imp. desertna žlička	101 imp. desertna žlička je	{0} imp. desertni žlički	102 imp. desertni žlički je	{0} imp. desertne žličke	4 imp. desertne žličke je	{0} imp. desertnih žličk	5 imp. desertnih žličk je
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	accusative	{0} imp. desertna žlička	čez 101 imp. desertna žlička	{0} imp. desertni žlički	čez 102 imp. desertni žlički	{0} imp. desertne žličke	čez 4 imp. desertne žličke	{0} imp. desertnih žličk	čez 5 imp. desertnih žličk
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	genitive	{0} imp. desertna žlička	brez 101 imp. desertna žlička	{0} imp. desertni žlički	brez 102 imp. desertni žlički	{0} imp. desertne žličke	brez 4 imp. desertne žličke	{0} imp. desertnih žličk	brez 5 imp. desertnih žličk
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	locative	{0} imp. desertna žlička	po 101 imp. desertna žlička	{0} imp. desertni žlički	po 102 imp. desertni žlički	{0} imp. desertne žličke	po 4 imp. desertne žličke	{0} imp. desertnih žličk	po 5 imp. desertnih žličk
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	dative	{0} imp. desertna žlička	kljub 101 imp. desertna žlička	{0} imp. desertni žlički	kljub 102 imp. desertni žlički	{0} imp. desertne žličke	kljub 4 imp. desertne žličke	{0} imp. desertnih žličk	kljub 5 imp. desertnih žličk
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a	instrumental	{0} imp. desertna žlička	s/z 101 imp. desertna žlička	{0} imp. desertni žlički	s/z 102 imp. desertni žlički	{0} imp. desertne žličke	s/z 4 imp. desertne žličke	{0} imp. desertnih žličk	s/z 5 imp. desertnih žličk
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	nominative	{0} drahma	101 drahma je	{0} drahmi	102 drahmi je	{0} drahme	4 drahme je	{0} drahm	5 drahm je
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	accusative	{0} drahma	čez 101 drahma	{0} drahmi	čez 102 drahmi	{0} drahme	čez 4 drahme	{0} drahm	čez 5 drahm
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	genitive	{0} drahma	brez 101 drahma	{0} drahmi	brez 102 drahmi	{0} drahme	brez 4 drahme	{0} drahm	brez 5 drahm
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	locative	{0} drahma	po 101 drahma	{0} drahmi	po 102 drahmi	{0} drahme	po 4 drahme	{0} drahm	po 5 drahm
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	dative	{0} drahma	kljub 101 drahma	{0} drahmi	kljub 102 drahmi	{0} drahme	kljub 4 drahme	{0} drahm	kljub 5 drahm
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a	instrumental	{0} drahma	s/z 101 drahma	{0} drahmi	s/z 102 drahmi	{0} drahme	s/z 4 drahme	{0} drahm	s/z 5 drahm
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	nominative	{0} čajna žlička	101 čajna žlička je	{0} čajni žlički	102 čajni žlički je	{0} čajne žličke	4 čajne žličke je	{0} čajnih žličk	5 čajnih žličk je
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	accusative	{0} čajna žlička	čez 101 čajna žlička	{0} čajni žlički	čez 102 čajni žlički	{0} čajne žličke	čez 4 čajne žličke	{0} čajnih žličk	čez 5 čajnih žličk
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	genitive	{0} čajna žlička	brez 101 čajna žlička	{0} čajni žlički	brez 102 čajni žlički	{0} čajne žličke	brez 4 čajne žličke	{0} čajnih žličk	brez 5 čajnih žličk
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	locative	{0} čajna žlička	po 101 čajna žlička	{0} čajni žlički	po 102 čajni žlički	{0} čajne žličke	po 4 čajne žličke	{0} čajnih žličk	po 5 čajnih žličk
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	dative	{0} čajna žlička	kljub 101 čajna žlička	{0} čajni žlički	kljub 102 čajni žlički	{0} čajne žličke	kljub 4 čajne žličke	{0} čajnih žličk	kljub 5 čajnih žličk
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a	instrumental	{0} čajna žlička	s/z 101 čajna žlička	{0} čajni žlički	s/z 102 čajni žlički	{0} čajne žličke	s/z 4 čajne žličke	{0} čajnih žličk	s/z 5 čajnih žličk
volume	centiliters	masculine	On centiliter	nominative	{0} centiliter	101 centiliter je	{0} centilitra	102 centilitra je	{0} centilitri	4 centilitri je	{0} centilitrov	5 centilitrov je
volume	centiliters	masculine	On centiliter	accusative	{0} centiliter	čez 101 centiliter	{0} centilitra	čez 102 centilitra	{0} centilitre	čez 4 centilitre	{0} centilitrov	čez 5 centilitrov
volume	centiliters	masculine	On centiliter	genitive	{0} centilitra	brez 101 centilitra	{0} centilitrov	brez 102 centilitrov	{0} centilitrov	brez 4 centilitrov	{0} centilitrov	brez 5 centilitrov
volume	centiliters	masculine	On centiliter	locative	{0} centilitru	po 101 centilitru	{0} centilitrih	po 102 centilitrih	{0} centilitrih	po 4 centilitrih	{0} centilitrih	po 5 centilitrih
volume	centiliters	masculine	On centiliter	dative	{0} centilitru	kljub 101 centilitru	{0} centilitroma	kljub 102 centilitroma	{0} centilitrom	kljub 4 centilitrom	{0} centilitrom	kljub 5 centilitrom
volume	centiliters	masculine	On centiliter	instrumental	{0} centilitrom	s/z 101 centilitrom	{0} centilitroma	s/z 102 centilitroma	{0} centilitri	s/z 4 centilitri	{0} centilitri	s/z 5 centilitri
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	nominative	{0} jedilna žlica	101 jedilna žlica je	{0} jedilni žlici	102 jedilni žlici je	{0} jedilne žlice	4 jedilne žlice je	{0} jedilnih žlic	5 jedilnih žlic je
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	accusative	{0} jedilna žlica	čez 101 jedilna žlica	{0} jedilni žlici	čez 102 jedilni žlici	{0} jedilne žlice	čez 4 jedilne žlice	{0} jedilnih žlic	čez 5 jedilnih žlic
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	genitive	{0} jedilna žlica	brez 101 jedilna žlica	{0} jedilni žlici	brez 102 jedilni žlici	{0} jedilne žlice	brez 4 jedilne žlice	{0} jedilnih žlic	brez 5 jedilnih žlic
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	locative	{0} jedilna žlica	po 101 jedilna žlica	{0} jedilni žlici	po 102 jedilni žlici	{0} jedilne žlice	po 4 jedilne žlice	{0} jedilnih žlic	po 5 jedilnih žlic
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	dative	{0} jedilna žlica	kljub 101 jedilna žlica	{0} jedilni žlici	kljub 102 jedilni žlici	{0} jedilne žlice	kljub 4 jedilne žlice	{0} jedilnih žlic	kljub 5 jedilnih žlic
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a	instrumental	{0} jedilna žlica	s/z 101 jedilna žlica	{0} jedilni žlici	s/z 102 jedilni žlici	{0} jedilne žlice	s/z 4 jedilne žlice	{0} jedilnih žlic	s/z 5 jedilnih žlic
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	nominative	{0} kubični palec	101 kubični palec je	{0} kubična palca	102 kubična palca je	{0} kubični palci	4 kubični palci je	{0} kubičnih palcev	5 kubičnih palcev je
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	accusative	{0} kubični palec	čez 101 kubični palec	{0} kubična palca	čez 102 kubična palca	{0} kubični palci	čez 4 kubični palci	{0} kubičnih palcev	čez 5 kubičnih palcev
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	genitive	{0} kubični palec	brez 101 kubični palec	{0} kubična palca	brez 102 kubična palca	{0} kubični palci	brez 4 kubični palci	{0} kubičnih palcev	brez 5 kubičnih palcev
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	locative	{0} kubični palec	po 101 kubični palec	{0} kubična palca	po 102 kubična palca	{0} kubični palci	po 4 kubični palci	{0} kubičnih palcev	po 5 kubičnih palcev
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	dative	{0} kubični palec	kljub 101 kubični palec	{0} kubična palca	kljub 102 kubična palca	{0} kubični palci	kljub 4 kubični palci	{0} kubičnih palcev	kljub 5 kubičnih palcev
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a	instrumental	{0} kubični palec	s/z 101 kubični palec	{0} kubična palca	s/z 102 kubična palca	{0} kubični palci	s/z 4 kubični palci	{0} kubičnih palcev	s/z 5 kubičnih palcev
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	nominative	{0} imperialna tekočinska unča	101 imperialna tekočinska unča je	{0} imperialni tekočinski unči	102 imperialni tekočinski unči je	{0} imperialne tekočinske unče	4 imperialne tekočinske unče je	{0} imperialnih tekočinskih unč	5 imperialnih tekočinskih unč je
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	accusative	{0} imperialna tekočinska unča	čez 101 imperialna tekočinska unča	{0} imperialni tekočinski unči	čez 102 imperialni tekočinski unči	{0} imperialne tekočinske unče	čez 4 imperialne tekočinske unče	{0} imperialnih tekočinskih unč	čez 5 imperialnih tekočinskih unč
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	genitive	{0} imperialna tekočinska unča	brez 101 imperialna tekočinska unča	{0} imperialni tekočinski unči	brez 102 imperialni tekočinski unči	{0} imperialne tekočinske unče	brez 4 imperialne tekočinske unče	{0} imperialnih tekočinskih unč	brez 5 imperialnih tekočinskih unč
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	locative	{0} imperialna tekočinska unča	po 101 imperialna tekočinska unča	{0} imperialni tekočinski unči	po 102 imperialni tekočinski unči	{0} imperialne tekočinske unče	po 4 imperialne tekočinske unče	{0} imperialnih tekočinskih unč	po 5 imperialnih tekočinskih unč
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	dative	{0} imperialna tekočinska unča	kljub 101 imperialna tekočinska unča	{0} imperialni tekočinski unči	kljub 102 imperialni tekočinski unči	{0} imperialne tekočinske unče	kljub 4 imperialne tekočinske unče	{0} imperialnih tekočinskih unč	kljub 5 imperialnih tekočinskih unč
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a	instrumental	{0} imperialna tekočinska unča	s/z 101 imperialna tekočinska unča	{0} imperialni tekočinski unči	s/z 102 imperialni tekočinski unči	{0} imperialne tekočinske unče	s/z 4 imperialne tekočinske unče	{0} imperialnih tekočinskih unč	s/z 5 imperialnih tekočinskih unč
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	nominative	{0} tekoča unča	101 tekoča unča je	{0} tekoči unči	102 tekoči unči je	{0} tekoče unče	4 tekoče unče je	{0} tekočih unč	5 tekočih unč je
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	accusative	{0} tekoča unča	čez 101 tekoča unča	{0} tekoči unči	čez 102 tekoči unči	{0} tekoče unče	čez 4 tekoče unče	{0} tekočih unč	čez 5 tekočih unč
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	genitive	{0} tekoča unča	brez 101 tekoča unča	{0} tekoči unči	brez 102 tekoči unči	{0} tekoče unče	brez 4 tekoče unče	{0} tekočih unč	brez 5 tekočih unč
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	locative	{0} tekoča unča	po 101 tekoča unča	{0} tekoči unči	po 102 tekoči unči	{0} tekoče unče	po 4 tekoče unče	{0} tekočih unč	po 5 tekočih unč
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	dative	{0} tekoča unča	kljub 101 tekoča unča	{0} tekoči unči	kljub 102 tekoči unči	{0} tekoče unče	kljub 4 tekoče unče	{0} tekočih unč	kljub 5 tekočih unč
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a	instrumental	{0} tekoča unča	s/z 101 tekoča unča	{0} tekoči unči	s/z 102 tekoči unči	{0} tekoče unče	s/z 4 tekoče unče	{0} tekočih unč	s/z 5 tekočih unč
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	nominative	{0} šilce	101 šilce je	{0} šilca	102 šilca je	{0} šilci	4 šilci je	{0} šilcev	5 šilcev je
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	accusative	{0} šilce	čez 101 šilce	{0} šilca	čez 102 šilca	{0} šilci	čez 4 šilci	{0} šilcev	čez 5 šilcev
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	genitive	{0} šilce	brez 101 šilce	{0} šilca	brez 102 šilca	{0} šilci	brez 4 šilci	{0} šilcev	brez 5 šilcev
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	locative	{0} šilce	po 101 šilce	{0} šilca	po 102 šilca	{0} šilci	po 4 šilci	{0} šilcev	po 5 šilcev
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	dative	{0} šilce	kljub 101 šilce	{0} šilca	kljub 102 šilca	{0} šilci	kljub 4 šilci	{0} šilcev	kljub 5 šilcev
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a	instrumental	{0} šilce	s/z 101 šilce	{0} šilca	s/z 102 šilca	{0} šilci	s/z 4 šilci	{0} šilcev	s/z 5 šilcev
volume	deciliter • ( = 10 cL)	masculine	On deciliter	nominative	{0} deciliter	101 deciliter je	{0} decilitra	102 decilitra je	{0} decilitri	4 decilitri je	{0} decilitrov	5 decilitrov je
volume	deciliter • ( = 10 cL)	masculine	On deciliter	accusative	{0} deciliter	čez 101 deciliter	{0} decilitra	čez 102 decilitra	{0} decilitre	čez 4 decilitre	{0} decilitrov	čez 5 decilitrov
volume	deciliter • ( = 10 cL)	masculine	On deciliter	genitive	{0} decilitra	brez 101 decilitra	{0} decilitrov	brez 102 decilitrov	{0} decilitrov	brez 4 decilitrov	{0} decilitrov	brez 5 decilitrov
volume	deciliter • ( = 10 cL)	masculine	On deciliter	locative	{0} decilitru	po 101 decilitru	{0} decilitrih	po 102 decilitrih	{0} decilitrih	po 4 decilitrih	{0} decilitrih	po 5 decilitrih
volume	deciliter • ( = 10 cL)	masculine	On deciliter	dative	{0} decilitru	kljub 101 decilitru	{0} decilitroma	kljub 102 decilitroma	{0} decilitrom	kljub 4 decilitrom	{0} decilitrom	kljub 5 decilitrom
volume	deciliter • ( = 10 cL)	masculine	On deciliter	instrumental	{0} decilitrom	s/z 101 decilitrom	{0} decilitroma	s/z 102 decilitroma	{0} decilitri	s/z 4 decilitri	{0} decilitri	s/z 5 decilitri
volume	cup • ( = 23.65882365 cL)	n/a	n/a	nominative	{0} skodelica	101 skodelica je	{0} skodelici	102 skodelici je	{0} skodelice	4 skodelice je	{0} skodelic	5 skodelic je
volume	cup • ( = 23.65882365 cL)	n/a	n/a	accusative	{0} skodelica	čez 101 skodelica	{0} skodelici	čez 102 skodelici	{0} skodelice	čez 4 skodelice	{0} skodelic	čez 5 skodelic
volume	cup • ( = 23.65882365 cL)	n/a	n/a	genitive	{0} skodelica	brez 101 skodelica	{0} skodelici	brez 102 skodelici	{0} skodelice	brez 4 skodelice	{0} skodelic	brez 5 skodelic
volume	cup • ( = 23.65882365 cL)	n/a	n/a	locative	{0} skodelica	po 101 skodelica	{0} skodelici	po 102 skodelici	{0} skodelice	po 4 skodelice	{0} skodelic	po 5 skodelic
volume	cup • ( = 23.65882365 cL)	n/a	n/a	dative	{0} skodelica	kljub 101 skodelica	{0} skodelici	kljub 102 skodelici	{0} skodelice	kljub 4 skodelice	{0} skodelic	kljub 5 skodelic
volume	cup • ( = 23.65882365 cL)	n/a	n/a	instrumental	{0} skodelica	s/z 101 skodelica	{0} skodelici	s/z 102 skodelici	{0} skodelice	s/z 4 skodelice	{0} skodelic	s/z 5 skodelic
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	nominative	{0} metrična skodelica	101 metrična skodelica je	{0} metrični skodelici	102 metrični skodelici je	{0} metrične skodelice	4 metrične skodelice je	{0} metričnih skodelic	5 metričnih skodelic je
volume	cup-metric • ( = 25 cL)	feminine	Ona metrična skodelica	accusative	{0} metrično skodelico	čez 101 metrično skodelico	{0} metrični skodelici	čez 102 metrični skodelici	{0} metrične skodelice	čez 4 metrične skodelice	{0} metričnih skodelic	čez 5 metričnih skodelic
